V1,V2,V3,V4,V5,V6,all_text.df
9.609 kr/md,Ubegrænset,Lejlighed,Viby J,85 m²,3 værelser,"Lejlighed, Engtoften, 8260 Viby J, etage: st. tv.                          Antal værelser: 3  Antal m2: 85  Husleje. 9.609 kr.  Indskud: 28.827 kr.  Post nummer: 8260  By: Viby J                                                                                                                                    Energimærke:                                                                                                  Forudbetalt leje: 9.609                                  Depositum: 28.827                                  A/C-forbrug: 319                              Ledig: 1. marts 2019                                  Indrykket: 27. februar 2019                              Husdyr tilladt                               Sagsnummer: 1500189"
11.160 kr/md,Ubegrænset,Lejlighed,Aarhus C,77 m²,3 værelser,"Lejlighed, Ryesgade, 8000 Aarhus C, etage: 2. 1.                          Antal værelser: 3  Antal m2: 77  Husleje. 11.160 kr.  Indskud: 33.479 kr.  Post nummer: 8000  By: Aarhus C                                                                                                                                                                                      Forudbetalt leje: 11.160                                  Depositum: 33.479                                  A/C-forbrug: 1.300                              Ledig: 1. marts 2019                                  Indrykket: 28. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1496352"
9.500 kr/md,Ubegrænset,Lejlighed,Aarhus V,97 m²,3 værelser,"Lejlighed, Hammershusvej, 8210 Aarhus V, etage: 2.tv.                          Antal værelser: 3  Antal m2: 97  Husleje. 9.500 kr.  Indskud: 0  Post nummer: 8210  By: Aarhus V  Henvendelser angående ledige lejemål, kan ske pr. besked med følgende oplysninger:  Antal personer  Navn og telefonnummer  Beskæftigelse  Ønsket overtagelse  Prisniveau                                                                                                                                                                                      Forudbetalt leje: Kontakt udlejer                                  Depositum: Kontakt udlejer                                  A/C-forbrug: 550                              Ledig: Straks                                  Indrykket: 28. februar 2019                              Muligvis tilladt - spørg udlejer                               Sagsnummer: 1492810"
9.750 kr/md,Ubegrænset,Lejlighed,Aarhus C,65 m²,25 værelser,"Lejlighed, Valdemarsgade, 8000 Aarhus C, etage: lejl. 322.                          Antal værelser: 25  Antal m2: 65  Husleje. 9.750 kr.  Indskud: 0  Post nummer: 8000  By: Aarhus C  Henvendelser angående ledige lejemål, kan ske pr. besked med følgende oplysninger:  Antal personer  Navn og telefonnummer  Beskæftigelse  Ønsket overtagelse  Prisniveau                                                                                                                                                                                      Forudbetalt leje: Kontakt udlejer                                  Depositum: Kontakt udlejer                                  A/C-forbrug: 550                              Ledig: Straks                                  Indrykket: 28. februar 2019                              Muligvis tilladt - spørg udlejer                               Sagsnummer: 1491180"
11.600 kr/md,Ubegrænset,Lejlighed,Aarhus C,87 m²,2 værelser,"Lejlighed, Valdemarsgade, 8000 Aarhus C, etage: lejl. 122.                          Antal værelser: 2  Antal m2: 87  Husleje. 11.600 kr.  Indskud: 0  Post nummer: 8000  By: Aarhus C  Henvendelser angående ledige lejemål, kan ske pr. besked med følgende oplysninger:  Antal personer  Navn og telefonnummer  Beskæftigelse  Ønsket overtagelse  Prisniveau                                                                                                                                                                                      Forudbetalt leje: Kontakt udlejer                                  Depositum: Kontakt udlejer                                  A/C-forbrug: 550                              Ledig: Straks                                  Indrykket: 28. februar 2019                              Muligvis tilladt - spørg udlejer                               Sagsnummer: 1491178"
9.500 kr/md,Ubegrænset,Lejlighed,Aarhus C,84 m²,2 værelser,"Lejlighed, Lundingsgade, 8000 Aarhus C, etage: lejl. 109.                          Antal værelser: 2  Antal m2: 84  Husleje. 9.500 kr.  Indskud: 0  Post nummer: 8000  By: Aarhus C  Henvendelser angående ledige lejemål, kan ske pr. besked med følgende oplysninger:  Antal personer  Navn og telefonnummer  Beskæftigelse  Ønsket overtagelse  Prisniveau                                                                                                                                                                                      Forudbetalt leje: Kontakt udlejer                                  Depositum: Kontakt udlejer                                  A/C-forbrug: 579                              Ledig: Straks                                  Indrykket: 28. februar 2019                              Muligvis tilladt - spørg udlejer                               Sagsnummer: 1491176"
11.840 kr/md,Ubegrænset,Lejlighed,Aarhus C,88 m²,3 værelser,"Lejlighed, Ryesgade, 8000 Aarhus C, etage: 3. 1.                          Antal værelser: 3  Antal m2: 88  Husleje. 11.840 kr.  Indskud: 35.520 kr.  Post nummer: 8000  By: Aarhus C                                                                                                                                                                                      Forudbetalt leje: 11.840                                  Depositum: 35.520                                  A/C-forbrug: 850                              Ledig: 1. marts 2019                                  Indrykket: 28. februar 2019                              Husdyr ikke tilladt                               Sagsnummer: 1454384"
11.300 kr/md,Ubegrænset,Lejlighed,Aarhus C,96 m²,3 værelser,"Lejlighed, Thit Jensens Gade, 8000 Aarhus C, etage: 2.                          Antal værelser: 3  Antal m2: 96  Husleje. 11.300 kr.  Indskud: 33.900 kr.  Post nummer: 8000  By: Århus C                                                                                                                                                                                      Forudbetalt leje: 0                                  Depositum: 33.900                                  A/C-forbrug: Kontakt udlejer                              Ledig: Straks                                  Indrykket: 27. februar 2019                              Muligvis tilladt - spørg udlejer                               Sagsnummer: 1499204"
7.295 kr/md,Ubegrænset,Lejlighed,Risskov,63 m²,2 værelser,"Lejlighed, Skejbyvej, 8240 Risskov.                          Kordegarden ligger i den nordlige del af Århus ca. 5 km nord for Århus centrum, med gode busforbindelser og indkøbsmuligheder. Kordegarden består af 181 lejemål beliggende i klynger af bygninger omkring 5 torpe. En ""torp"" er en gammel nordisk betegnelse for en klynge gårde. Herudover forefindes et fælleshus med vaskeri. Bebyggelsen er opført i gule teglsten og tagsten og med hvidmalede vinduespartier i træ. Der er anlagt P-pladser i forbindelse med boligerne. Disse er placeret således, at torverummene og de smalle gader til dagligt er bilfri. Såvel børn som voksne kan derfor færdes sikkert rundt i bebyggelsen.I forbindelse med hver torp er der anlagt legepladser og opholdsarealer. Alle boliger har let adgang til de grønne fællesarealer. Det er tilladt at holde 1 stk hund på max 20 kg ( med forbehold ) ingen katte. OBS. DER FREMVISES KUN 2 OG 3-VÆR                                                                                                                                                                                      Forudbetalt leje: 14.590                                  Depositum: 21.885                                  A/C-forbrug: Kontakt udlejer                              Ledig: 1. juni 2019                                  Indrykket: 28. februar 2019                              Husdyr tilladt                               Sagsnummer: 1506452"
9.553 kr/md,Ubegrænset,Lejlighed,Risskov,85 m²,3 værelser,"Lejlighed, Skejbyvej, 8240 Risskov.                          Kordegarden ligger i den nordlige del af Århus ca. 5 km nord for Århus centrum, med gode busforbindelser og indkøbsmuligheder. Kordegarden består af 181 lejemål beliggende i klynger af bygninger omkring 5 torpe. En ""torp"" er en gammel nordisk betegnelse for en klynge gårde. Herudover forefindes et fælleshus med vaskeri. Bebyggelsen er opført i gule teglsten og tagsten og med hvidmalede vinduespartier i træ. Der er anlagt P-pladser i forbindelse med boligerne. Disse er placeret således, at torverummene og de smalle gader til dagligt er bilfri. Såvel børn som voksne kan derfor færdes sikkert rundt i bebyggelsen.I forbindelse med hver torp er der anlagt legepladser og opholdsarealer. Alle boliger har let adgang til de grønne fællesarealer. Det er tilladt at holde 1 stk hund på max 20 kg ( med forbehold ) ingen katte. OBS. DER FREMVISES KUN 2 OG 3-VÆR                                                                                                                                                                                      Forudbetalt leje: 19.106                                  Depositum: 28.658                                  A/C-forbrug: Kontakt udlejer                              Ledig: 1. august 2019                                  Indrykket: 28. februar 2019                              Husdyr tilladt                               Sagsnummer: 1505207"
11.476 kr/md,Ubegrænset,Lejlighed,Risskov,102 m²,4 værelser,"Lejlighed, Skejbyvej, 8240 Risskov.                          Kordegarden ligger i den nordlige del af Århus ca. 5 km nord for Århus centrum, med gode busforbindelser og indkøbsmuligheder. Kordegarden består af 181 lejemål beliggende i klynger af bygninger omkring 5 torpe. En ""torp"" er en gammel nordisk betegnelse for en klynge gårde. Herudover forefindes et fælleshus med vaskeri. Bebyggelsen er opført i gule teglsten og tagsten og med hvidmalede vinduespartier i træ. Der er anlagt P-pladser i forbindelse med boligerne. Disse er placeret således, at torverummene og de smalle gader til dagligt er bilfri. Såvel børn som voksne kan derfor færdes sikkert rundt i bebyggelsen.I forbindelse med hver torp er der anlagt legepladser og opholdsarealer. Alle boliger har let adgang til de grønne fællesarealer. Det er tilladt at holde 1 stk hund på max 20 kg ( med forbehold ) ingen katte. OBS. DER FREMVISES KUN 2 OG 3-VÆR                                                                                                                                                                                      Forudbetalt leje: 22.952                                  Depositum: 34.427                                  A/C-forbrug: Kontakt udlejer                              Ledig: 1. maj 2019                                  Indrykket: 28. februar 2019                              Husdyr tilladt                               Sagsnummer: 1504817"
8.572 kr/md,Ubegrænset,Lejlighed,Risskov,74 m²,2 værelser,"Lejlighed, Skejbyvej, 8240 Risskov.                          Kordegarden ligger i den nordlige del af Århus ca. 5 km nord for Århus centrum, med gode busforbindelser og indkøbsmuligheder. Kordegarden består af 181 lejemål beliggende i klynger af bygninger omkring 5 torpe. En ""torp"" er en gammel nordisk betegnelse for en klynge gårde. Herudover forefindes et fælleshus med vaskeri. Bebyggelsen er opført i gule teglsten og tagsten og med hvidmalede vinduespartier i træ. Der er anlagt P-pladser i forbindelse med boligerne. Disse er placeret således, at torverummene og de smalle gader til dagligt er bilfri. Såvel børn som voksne kan derfor færdes sikkert rundt i bebyggelsen.I forbindelse med hver torp er der anlagt legepladser og opholdsarealer. Alle boliger har let adgang til de grønne fællesarealer. Det er tilladt at holde 1 stk hund på max 20 kg ( med forbehold ) ingen katte. OBS. DER FREMVISES KUN 2 OG 3-VÆR                                                                                                                                                                                      Forudbetalt leje: 17.144                                  Depositum: 25.715                                  A/C-forbrug: Kontakt udlejer                              Ledig: 15. april 2019                                  Indrykket: 28. februar 2019                              Husdyr tilladt                               Sagsnummer: 1502701"
8.108 kr/md,Ubegrænset,Lejlighed,Risskov,70 m²,2 værelser,"Lejlighed, Skejbyvej, 8240 Risskov, etage: 1.                          Kordegarden ligger i den nordlige del af Århus ca. 5 km nord for Århus centrum, med gode busforbindelser og indkøbsmuligheder. Kordegarden består af 181 lejemål beliggende i klynger af bygninger omkring 5 torpe. En ""torp"" er en gammel nordisk betegnelse for en klynge gårde. Herudover forefindes et fælleshus med vaskeri. Bebyggelsen er opført i gule teglsten og tagsten og med hvidmalede vinduespartier i træ. Der er anlagt P-pladser i forbindelse med boligerne. Disse er placeret således, at torverummene og de smalle gader til dagligt er bilfri. Såvel børn som voksne kan derfor færdes sikkert rundt i bebyggelsen.I forbindelse med hver torp er der anlagt legepladser og opholdsarealer. Alle boliger har let adgang til de grønne fællesarealer. Det er tilladt at holde 1 stk hund på max 20 kg ( med forbehold ) ingen katte. OBS. DER FREMVISES KUN 2 OG 3-VÆR                                                                                                                                                                                      Forudbetalt leje: 16.216                                  Depositum: 24.324                                  A/C-forbrug: Kontakt udlejer                              Ledig: 1. april 2019                                  Indrykket: 28. februar 2019                              Husdyr tilladt                               Sagsnummer: 1499929"
10.037 kr/md,Ubegrænset,Lejlighed,Risskov,90 m²,3 værelser,"Lejlighed, Skejbyvej, 8240 Risskov.                          Kordegarden ligger i den nordlige del af Århus ca. 5 km nord for Århus centrum, med gode busforbindelser og indkøbsmuligheder. Kordegarden består af 181 lejemål beliggende i klynger af bygninger omkring 5 torpe. En ""torp"" er en gammel nordisk betegnelse for en klynge gårde. Herudover forefindes et fælleshus med vaskeri. Bebyggelsen er opført i gule teglsten og tagsten og med hvidmalede vinduespartier i træ. Der er anlagt P-pladser i forbindelse med boligerne. Disse er placeret således, at torverummene og de smalle gader til dagligt er bilfri. Såvel børn som voksne kan derfor færdes sikkert rundt i bebyggelsen.I forbindelse med hver torp er der anlagt legepladser og opholdsarealer. Alle boliger har let adgang til de grønne fællesarealer. Det er tilladt at holde 1 stk hund på max 20 kg ( med forbehold ) ingen katte. OBS. DER FREMVISES KUN 2 OG 3-VÆR                                                                                                                                                                                      Forudbetalt leje: 20.074                                  Depositum: 30.110                                  A/C-forbrug: Kontakt udlejer                              Ledig: 1. april 2019                                  Indrykket: 28. februar 2019                              Husdyr tilladt                               Sagsnummer: 1498497"
10.044 kr/md,Ubegrænset,Lejlighed,Risskov,86 m²,3 værelser,"Lejlighed, Skejbyvej, 8240 Risskov.                          Kordegarden ligger i den nordlige del af Århus ca. 5 km nord for Århus centrum, med gode busforbindelser og indkøbsmuligheder. Kordegarden består af 181 lejemål beliggende i klynger af bygninger omkring 5 torpe. En ""torp"" er en gammel nordisk betegnelse for en klynge gårde. Herudover forefindes et fælleshus med vaskeri. Bebyggelsen er opført i gule teglsten og tagsten og med hvidmalede vinduespartier i træ. Der er anlagt P-pladser i forbindelse med boligerne. Disse er placeret således, at torverummene og de smalle gader til dagligt er bilfri. Såvel børn som voksne kan derfor færdes sikkert rundt i bebyggelsen.I forbindelse med hver torp er der anlagt legepladser og opholdsarealer. Alle boliger har let adgang til de grønne fællesarealer. Det er tilladt at holde 1 stk hund på max 20 kg ( med forbehold ) ingen katte. OBS. DER FREMVISES KUN 2 OG 3-VÆR                                                                                                                                                                                      Forudbetalt leje: 20.088                                  Depositum: 30.131                                  A/C-forbrug: Kontakt udlejer                              Ledig: 1. marts 2019                                  Indrykket: 28. februar 2019                              Husdyr tilladt                               Sagsnummer: 1496420"
8.500 kr/md,Ubegrænset,Lejlighed,Risskov,71 m²,2 værelser,"Lejlighed, Skejbyvej, 8240 Risskov, etage: 1.                          Kordegarden ligger i den nordlige del af Århus ca. 5 km nord for Århus centrum, med gode busforbindelser og indkøbsmuligheder. Kordegarden består af 181 lejemål beliggende i klynger af bygninger omkring 5 torpe. En ""torp"" er en gammel nordisk betegnelse for en klynge gårde. Herudover forefindes et fælleshus med vaskeri. Bebyggelsen er opført i gule teglsten og tagsten og med hvidmalede vinduespartier i træ. Der er anlagt P-pladser i forbindelse med boligerne. Disse er placeret således, at torverummene og de smalle gader til dagligt er bilfri. Såvel børn som voksne kan derfor færdes sikkert rundt i bebyggelsen.I forbindelse med hver torp er der anlagt legepladser og opholdsarealer. Alle boliger har let adgang til de grønne fællesarealer. Det er tilladt at holde 1 stk hund på max 20 kg ( med forbehold ) ingen katte. OBS. DER FREMVISES KUN 2 OG 3-VÆR                                                                                                                                                                                      Forudbetalt leje: 17.000                                  Depositum: 25.500                                  A/C-forbrug: Kontakt udlejer                              Ledig: 1. april 2019                                  Indrykket: 28. februar 2019                              Husdyr tilladt                               Sagsnummer: 1495035"
10.265 kr/md,Ubegrænset,Lejlighed,Risskov,86 m²,3 værelser,"Lejlighed, Skejbyvej, 8240 Risskov.                          Kordegarden ligger i den nordlige del af Århus ca. 5 km nord for Århus centrum, med gode busforbindelser og indkøbsmuligheder. Kordegarden består af 181 lejemål beliggende i klynger af bygninger omkring 5 torpe. En ""torp"" er en gammel nordisk betegnelse for en klynge gårde. Herudover forefindes et fælleshus med vaskeri. Bebyggelsen er opført i gule teglsten og tagsten og med hvidmalede vinduespartier i træ. Der er anlagt P-pladser i forbindelse med boligerne. Disse er placeret således, at torverummene og de smalle gader til dagligt er bilfri. Såvel børn som voksne kan derfor færdes sikkert rundt i bebyggelsen.I forbindelse med hver torp er der anlagt legepladser og opholdsarealer. Alle boliger har let adgang til de grønne fællesarealer. Det er tilladt at holde 1 stk hund på max 20 kg ( med forbehold ) ingen katte. OBS. DER FREMVISES KUN 2 OG 3-VÆR   ÅBENT HUS: Lørdag den 2. marts kl. 12.30-13.00 Onsdag den 6. marts kl. 18.30-19.00                                                                                                                                                                                      Forudbetalt leje: 20.530                                  Depositum: 30.794                                  A/C-forbrug: Kontakt udlejer                              Ledig: Straks                                  Indrykket: 28. februar 2019                              Husdyr tilladt                               Sagsnummer: 1495023"
9.966 kr/md,Ubegrænset,Lejlighed,Risskov,86 m²,3 værelser,"Lejlighed, Skejbyvej, 8240 Risskov.                          Kordegarden ligger i den nordlige del af Århus ca. 5 km nord for Århus centrum, med gode busforbindelser og indkøbsmuligheder. Kordegarden består af 181 lejemål beliggende i klynger af bygninger omkring 5 torpe. En ""torp"" er en gammel nordisk betegnelse for en klynge gårde. Herudover forefindes et fælleshus med vaskeri. Bebyggelsen er opført i gule teglsten og tagsten og med hvidmalede vinduespartier i træ. Der er anlagt P-pladser i forbindelse med boligerne. Disse er placeret således, at torverummene og de smalle gader til dagligt er bilfri. Såvel børn som voksne kan derfor færdes sikkert rundt i bebyggelsen.I forbindelse med hver torp er der anlagt legepladser og opholdsarealer. Alle boliger har let adgang til de grønne fællesarealer. Det er tilladt at holde 1 stk hund på max 20 kg ( med forbehold ) ingen katte. OBS. DER FREMVISES KUN 2 OG 3-VÆR                                                                                                                                                                                      Forudbetalt leje: 19.932                                  Depositum: 29.897                                  A/C-forbrug: Kontakt udlejer                              Ledig: Straks                                  Indrykket: 28. februar 2019                              Husdyr tilladt                               Sagsnummer: 1495022"
8.651 kr/md,Ubegrænset,Lejlighed,Risskov,77 m²,2 værelser,"Lejlighed, Skejbyvej, 8240 Risskov, etage: st.                          Kordegarden ligger i den nordlige del af Århus ca. 5 km nord for Århus centrum, med gode busforbindelser og indkøbsmuligheder. Kordegarden består af 181 lejemål beliggende i klynger af bygninger omkring 5 torpe. En ""torp"" er en gammel nordisk betegnelse for en klynge gårde. Herudover forefindes et fælleshus med vaskeri. Bebyggelsen er opført i gule teglsten og tagsten og med hvidmalede vinduespartier i træ. Der er anlagt P-pladser i forbindelse med boligerne. Disse er placeret således, at torverummene og de smalle gader til dagligt er bilfri. Såvel børn som voksne kan derfor færdes sikkert rundt i bebyggelsen.I forbindelse med hver torp er der anlagt legepladser og opholdsarealer. Alle boliger har let adgang til de grønne fællesarealer. Det er tilladt at holde 1 stk hund på max 20 kg ( med forbehold ) ingen katte. OBS. DER FREMVISES KUN 2 OG 3-VÆR   ÅBENT HUS: Lørdag den 2. marts kl. 12.30-13.00 Onsdag den 6. marts kl. 18.30-19.00                                                                                                                                                                                      Forudbetalt leje: 17.302                                  Depositum: 25.952                                  A/C-forbrug: Kontakt udlejer                              Ledig: Straks                                  Indrykket: 28. februar 2019                              Husdyr tilladt                               Sagsnummer: 1495512"
